simulation_num,N,moves,seconds,word_count,word_list
125,4,548,0.2354,33,POH;OUT;HYPO;FRY;OP;URP;HYP;PHOT;TURF;POUR;FUR;UT;FURZY;HOP;TOUR;QOPH;OH;TYPY;TO;HOT;RUT;POT;OUR;TOP;HOUR;HO;TYPO;POUT;TOPH;PYX;PRY;FURY;POUF
126,4,790,0.2607,46,JABS;CAP;MY;ABY;AE;YEW;CAMP;MAC;BA;AW;CAW;AWE;WE;WAB;AMP;PA;JAM;PAM;MAW;BAP;AB;MAE;YEA;CAB;PAC;JAB;BY;MA;CABS;PAW;ABS;WAP;MAP;EX;JAW;JEW;WAE;CAM;WABS;AM;BAM;PYX;BYS;CAMPY;ABYS;YE
127,4,830,0.2792,38,SAID;AID;XU;UM;SIX;SCUM;AS;AIL;XIS;VUM;LID;DISC;SAU;XI;AIS;DAIS;SAIL;SILD;SUM;LIS;IS;DIS;CUM;SADI;LI;VIS;AI;VIA;US;AD;MU;ID;VID;MUS;JAIL;SAD;VISA;SI
128,4,1085,0.3359,40,GAUR;VAGUE;XU;RUE;GAVE;HE;VUG;AG;UH;AGUE;EURO;RUGA;CUR;VAU;HEX;CUE;OX;AVE;HUE;OH;VEX;CAVIE;AI;VIA;OR;EX;CHUG;HO;CAVE;HUG;VIE;EH;CHEZ;VICE;RUG;ECHO;RHO;ICE;GUV;VAC
129,4,493,0.2301,21,TSK;XU;TORSK;TORS;BOTS;TOR;ORTS;BOT;ROB;STOB;ORB;TO;ORT;BORT;OR;ORS;BO;BORTS;ROT;ROTS;BRO
130,4,1264,0.3462,60,NEUK;HONK;FOHN;NO;KEP;HONE;PUKE;NONE;HEP;KUNE;OHO;KEEF;UP;HE;YO;FENNY;FOH;KEF;FEN;PEH;KNEE;YON;EEK;KONK;HON;ONE;OY;PEEN;HOY;NEE;UN;ON;OH;EF;OF;PEN;NUKE;YOK;EN;NENE;NE;NU;PEE;KUE;FEU;PE;FEH;HO;FEE;PENNY;EH;KEN;FE;UKE;KEEN;NEEP;HEN;PUN;NOH;KENO
131,4,1036,0.3228,80,DEX;FART;FED;WAR;WARP;DRAT;WRAP;DE;TARE;AR;DERAT;PAW;PART;AT;PREXY;ER;FARD;TARED;AW;PA;FAT;PREX;TAW;TARP;DRY;WARD;WAT;ERA;DRAW;RED;RE;PE;EX;PARD;FARED;WARY;REF;PRY;REX;RAT;AWRY;RAW;FARL;PYRE;WARPED;PARE;FARE;DEXY;TAP;TREF;FAR;PRAT;FA;REP;RAP;WARED;TRY;DEF;FER;PED;TA;PAT;TRAP;WRY;ARE;PAR;ED;PYREX;EF;WART;ART;PARED;WAP;TWA;FE;WARE;PYX;PER;PERT;TAR
132,4,587,0.254,34,FOX;LO;IVY;TOADY;GO;HI;AX;DAFT;COL;LOG;XI;CHI;FAY;LOCH;OX;FAD;FAX;OAF;OFAY;COG;CLOG;AFT;FA;OF;TO;DAY;TOAD;AD;YA;AY;CHIVY;OFT;OXY;FOXY
133,4,2119,0.5099,140,APO;OPEN;NEAR;WET;PAVE;PAEON;MOWN;FEN;MANE;NOT;APE;TOW;LANE;TWEE;NEAP;MOTE;NAM;AFAR;ANEAR;LAX;WOMAN;ON;NOM;OM;OF;AR;RAX;MOPE;FAENA;MOW;TOP;WOT;AM;VENOM;WO;TOPEE;TEEN;FON;FANE;NOTE;MAN;AA;FOP;PEW;TEE;OP;PA;TWEEN;POW;LAM;FAX;MANO;PEEN;WEEN;NEE;PEN;OE;PEE;LA;PE;NOWT;PEA;WON;EAR;TOMAN;FOE;TOWNEE;AEON;TOPE;WOE;PENAL;TOWN;OWN;FEAR;TOM;TEPA;ET;WEEP;AVE;ONE;AL;NOMA;OW;FAR;VENAL;FA;ARF;TONE;MA;VEE;EN;NE;POT;AN;OPE;TEW;FEE;AXAL;NA;ENOW;FANO;TON;VEEP;NO;TOE;ANE;POTEEN;FRAE;EON;OWE;AE;PEON;AX;WE;NOW;PEAR;POM;FAN;TONAL;FRAENA;WOP;MAX;FEET;EF;TO;VENA;TWO;WEE;MOT;TOEA;PONE;MOP;FE;FAVE;MO;NOPE;POET;NEEP;PET;MON
134,4,283,0.1972,10,OH;SUQ;THUS;PHT;JO;THO;US;HUH;HO;UH
135,4,705,0.2615,15,AUK;FA;HAIKU;YUKKY;VAU;AI;AHI;AH;HI;HAIK;DUH;YUK;KI;HA;UH
136,4,1383,0.3791,50,MUD;XU;UM;GO;FUME;FUB;DUB;JUMBO;BUXOM;DUMBO;BUM;JO;DUO;MEOU;OX;ME;JEUX;BOMB;BOX;EMU;EF;OF;DUMB;FOU;MEG;OM;OE;MOB;GEUM;FEM;JOB;GEM;MOUE;MU;FEU;FEUD;FOG;BO;DUOMO;DUE;FE;UMBO;MO;EGO;EM;BUD;JEU;OUD;BOB;FOE
137,4,407,0.2089,13,BO;BY;BOY;KAB;KA;YOB;BA;AB;OY;CAB;YO;BOB;BACK
138,4,986,0.3128,45,REIF;DRUM;MI;REI;FUMIER;TUI;MURR;UM;XU;MUT;FUME;ERR;VUM;DURR;FIE;MUMU;BRR;MUM;URB;FIZ;MURRE;FUR;UT;ME;REM;TUX;IF;EXURB;EMU;BRUX;FUMER;TURD;RUT;RE;MU;BRUT;EX;URD;BRUME;ER;EM;REX;RUM;FUD;MUD
139,4,1419,0.406,62,KENCH;BIDI;YID;KEP;ZINE;IT;CEP;ZIN;TIL;TIDY;LICH;ZEIN;LIE;LIT;LID;ICILY;TIC;LICIT;TIDILY;BICE;ICH;PECH;DIB;ZEP;PENCIL;ZEK;LIEN;PEKIN;BID;LICE;TIE;BI;ZINC;LI;PEN;DITCH;INK;LIB;EN;KIN;NE;PEC;ITCH;ID;INCH;DIT;PE;PEIN;CEIL;BICEP;DICE;DIZEN;KEN;KINE;IDYL;TI;BITCH;IN;BIT;ICE;DIE;KI
140,4,597,0.2372,24,SLY;WIGS;MY;WIG;ISMS;ISM;MM;SYLI;SI;CWMS;IS;LIS;JISM;PLY;JISMS;LI;JIGS;SYLIS;YWIS;WILY;CWM;JIG;SWIG;WIS
141,4,321,0.1935,20,SKID;ED;GED;ET;DE;SKI;KIS;IS;DIS;IDS;ID;GET;KID;DISK;KIDS;TED;TEG;ZED;KI;SI
142,4,695,0.2734,23,ORZO;ZOOS;OS;WHOSO;OI;UH;SO;RHOS;OOH;HOS;SORE;EROS;OH;ORE;RE;OR;ZOO;HO;WHO;WHORE;ER;RHO;ORZOS
